ID	pred_ID	org_class	pred_class
T96060000031	Mix	GO:0000139,GO:0005615,GO:0005788,GO:0005886,GO:0005925,GO:0012507,GO:0030670,GO:0031901,GO:0031905,GO:0070062,GO:0071556	GO:0005886,GO:0000139,GO:0005794,GO:0008021,GO:0012507,GO:0016020
T96060001008	Mix	GO:0070062	GO:0005886,GO:0005737,GO:0005794,GO:0005887
T96060012863	Mix	GO:0005829	GO:0005794
T2848120001137	Mix	GO:0005739	GO:0005739
T37020002533	Mix	GO:0005886	GO:0005794,GO:0005886,GO:0008021
T96060003503	Mix	GO:0005737	GO:0005737,GO:0005794
T96060003932	Mix	GO:0070062	GO:0005794
T100900000587	Mix		GO:0005794
T446890001021	Mix	GO:0001891,GO:0005911,GO:0030864,GO:0044354	GO:0001891,GO:0005737,GO:0005794
T96060006698	Mix	GO:0070062	GO:0005576,GO:0005615,GO:0005737,GO:0005794,GO:0005886
T96060007336	Mix	GO:0005719	GO:0000790
T96060000298	Mix	GO:0016020	GO:0005634,GO:0005737
T96060005523	Mix	GO:0005634	GO:0005634,GO:0005730
T96060001126	Mix	GO:0070062	GO:0005634,GO:0005654,GO:0005730,GO:0005794
T100900015186	Mix	GO:0035068	GO:0005634,GO:0005737,GO:0005794,GO:0005829
T96060016382	Mix	GO:0070062	GO:0001533
T96060013641	Mix	GO:0042995,GO:0070062	GO:0001750,GO:0016020,GO:0070044,GO:0043005,GO:0042995,GO:0032420,GO:0030672,GO:0016324,GO:0009986,GO:0005615
T100900003328	Mix		GO:0005794
T96060004160	Mix	GO:0031461	GO:0005622,GO:0005794
T96060014171	Mix	GO:0005634	GO:0005794
T96060017413	Mix	GO:0070062	GO:0005737,GO:0005739
T96060008994	Mix	GO:0005615	GO:0005634
T2848120003276	Mix	GO:0005634	GO:0005634
T96060008508	Mix	GO:0070062	GO:0005615
T96060006792	Mix	GO:0016020	GO:0005783
T100900013686	Mix	GO:0005615,GO:0031012	GO:0005794
T100900003780	Mix	GO:0043196	GO:0005886
T96060009714	Mix	GO:0009986	GO:0005886
T833330002469	Mix	GO:0005887	GO:0005794
T100900003070	Mix		GO:0005794
T96060000021	Mix	GO:0000139,GO:0005886,GO:0012507,GO:0030670,GO:0031901,GO:0071556	GO:0005886,GO:0000139,GO:0005794,GO:0008021,GO:0012507,GO:0016020
T100900006262	Mix	GO:0005615,GO:0005634	GO:0005576
T96060007311	Mix	GO:0005881,GO:0016020	GO:0000922,GO:0005794,GO:0005829
T96060016353	Mix	GO:0005634	GO:0005634
T96060004980	Mix	GO:0005634,GO:0005794,GO:0070062	GO:0005739
T100900013294	Mix		GO:0005886
T100900008150	Mix		GO:0005794
T100900001277	Mix		GO:0005886,GO:0016020,GO:0005634,GO:0005737,GO:0005794
T96060016519	Mix	GO:0005615	GO:0005886,GO:0005737
T96060012769	Mix	GO:0005737	GO:0005737
T96060019402	Mix	GO:0005783	GO:0005886,GO:0016020,GO:0005654,GO:0005737,GO:0005794,GO:0005829,GO:0008021
T100900012316	Mix	GO:0005737,GO:0097225,GO:0097228	GO:0005737,GO:0005794
T96060006630	Mix	GO:0070062	GO:0005794,GO:0005829,GO:0005886
T100900010414	Mix		GO:0005794,GO:0005737,GO:0005813,GO:0005886
T833330002136	Mix	GO:0005829	GO:0016020,GO:0005794
T833330002869	Mix	GO:0009380	GO:0005886,GO:0005618,GO:0005794
T100900010326	Mix	GO:0005739,GO:0005829,GO:0031982,GO:0043005,GO:0044297,GO:0097225	GO:0005739,GO:0005794,GO:0005886,GO:0005929
T96060006417	Mix	GO:0005737,GO:0070062	GO:0005737
T96060000748	Mix	GO:0005886	GO:0005794,GO:0005829
T96060005177	Mix	GO:0031012	GO:0005576,GO:0005615
T96060007346	Mix	GO:0005634	GO:0000794,GO:0005622
T100900013503	Mix		GO:0005737,GO:0005794,GO:0005886
T96060013506	Mix	GO:0070062	GO:0005783
T96060010654	Mix	GO:0005615	GO:0005886,GO:0005730,GO:0005737
T96060005534	Mix	GO:0005794,GO:0005829	GO:0005794,GO:0005829
T96060009928	Mix	GO:0016020	GO:0005634,GO:0005654,GO:0005737,GO:0005794,GO:0005886,GO:0008021
T96060018395	Mix	GO:0005634,GO:0005737	GO:0005783
T101160002168	Mix		GO:0005737,GO:0005794,GO:0005886
T100900005816	Mix	GO:0005829	GO:0005886,GO:0005737,GO:0005794,GO:0008021
T100900009074	Mix		GO:0005794
T101160002634	Mix	GO:0043005,GO:0044297	GO:0043005,GO:0005794
T79550001684	Mix		GO:0005576,GO:0005623
T96060004546	Mix		GO:0005737,GO:0005794
T96060002934	Mix	GO:0005634	GO:0005794
T96060020186	Mix	GO:0005768,GO:0005829,GO:0016020	GO:0005768
T100900011976	Mix		GO:0005886
T5592920002854	Mix	GO:0030687,GO:0070545	GO:0005634,GO:0005730,GO:0005794,GO:0005886
T100900008833	Mix	GO:0005576	GO:0005576,GO:0005615
T96060011765	Mix	GO:0070062	GO:0005794,GO:0005886
T100900002908	Mix	GO:0031012	GO:0005576,GO:0005615,GO:0005788,GO:0005794,GO:0005886
T96060000307	Mix	GO:0005794,GO:0070062,GO:0097038	GO:0005886,GO:0008021,GO:0005615,GO:0005634,GO:0005737,GO:0005794
T96060016824	Mix	GO:0005759,GO:0005829	GO:0005737,GO:0005759,GO:0005794
T833330000887	Mix		GO:0005737,GO:0005794
T72270002597	Mix	GO:0005886,GO:0031201,GO:0043195	GO:0005886
T96060008718	Mix	GO:0070062	GO:0005794,GO:0005886,GO:0008021
T96060007338	Mix	GO:0005719	GO:0000790
T100900009855	Mix	GO:0005768,GO:0016328,GO:0045211	GO:0005634,GO:0005737
T37020000974	Mix		GO:0005634
T96060012325	Mix	GO:0016020	GO:0005794
T100900014609	Mix	GO:0005634	GO:0000346,GO:0000347,GO:0000445
T96060001984	Mix	GO:0005891	GO:0005794
T96060009519	Mix	GO:0070062	GO:0005886
T96060016443	Mix	GO:0005634,GO:0005739	GO:0005794
T5592920000112	Mix	GO:0031305	GO:0005739
T96060014738	Mix		GO:0005634,GO:0005730
T96060014082	Mix	GO:0005615,GO:0005886,GO:0005925,GO:0070062	GO:0005886,GO:0005794
T833330002106	Mix		GO:0005794
T5592920006305	Mix	GO:0071821	GO:0005634
T96060003775	Mix	GO:0070062	GO:0043005,GO:0005794
T96060018798	Mix	GO:0005634,GO:0005737	GO:0005886,GO:0002142,GO:0005634
T5592920003599	Mix	GO:0005739	GO:0005739
T96060002842	Mix	GO:0005789	GO:0005789
T96060014525	Mix	GO:0005829,GO:0016020,GO:0034066	GO:0005794,GO:0005886
T96060012056	Mix	GO:0005886	GO:0005886
T96060009997	Mix	GO:0016020	GO:0005794,GO:0005886
T833330000553	Mix	GO:0005829	GO:0005634,GO:0005794
T37020010537	Mix	GO:0009535,GO:0009543,GO:0009570,GO:0009941	GO:0016020,GO:0005794
T96060015266	Mix	GO:0005789,GO:0005886	GO:0005794
T96060005340	Mix		GO:0005634,GO:0005730,GO:0005737,GO:0005794,GO:0005829
T100900014699	Mix	GO:0005634,GO:0005938,GO:0043234	GO:0005794,GO:0005886
T96060011286	Mix	GO:0005730	GO:0005634
T96060010817	Mix	GO:0070062,GO:0072562	GO:0005576
T96060015749	Mix	GO:0005829	GO:0005794
T100900006453	Mix		GO:0005794
T96060015759	Mix	GO:0005829	GO:0005794
T96060009375	Mix	GO:0005615,GO:0070062	GO:0005794
T833330001130	Mix		GO:0005634
T100900000184	Mix		GO:0005737
T100900000205	Mix	GO:0005737,GO:0005886	GO:0005886,GO:0005576,GO:0005615,GO:0005794,GO:0008021
T96060020207	Mix	GO:0005634	GO:0001669,GO:0002199,GO:0005794
T100900014956	Mix	GO:0005886	GO:0005886
T100900016428	Mix		GO:0005634,GO:0005730,GO:0005737
T100900003859	Mix	GO:0005743	GO:0005739
T96060016054	Mix	GO:0000790,GO:0016514,GO:0017053	GO:0005634,GO:0005730,GO:0005794,GO:0005886
T96060001549	Mix	GO:0005737,GO:0034464	GO:0005737,GO:0005794
T2848120001778	Mix	GO:0005826,GO:0005829,GO:0070648	GO:0005794,GO:0005826
T96060013209	Mix		GO:0005622
T96060012407	Mix	GO:0005634,GO:0070062	GO:0005739,GO:0005759
T96060001789	Mix	GO:0070062	GO:0005794
T96060005533	Mix		GO:0005794
T96060016499	Mix	GO:0016607	GO:0005634,GO:0005654,GO:0005730
T96060011480	Mix	GO:0005730	GO:0005634
T100900010690	Mix	GO:0005968	GO:0005794
T96060020082	Mix	GO:0005634	GO:0005634,GO:0005730,GO:0005737
T96060013771	Mix	GO:0070062	GO:0005886,GO:0005794
T96060002590	Mix	GO:0009897	GO:0005886,GO:0005794
T96060018054	Mix	GO:0005730	GO:0005737
T100900005921	Mix	GO:0005615	GO:0005576
T96060019945	Mix	GO:0005730	GO:0005634,GO:0005730
T100900004661	Mix		GO:0005622
T100900015887	Mix		GO:0005576
T100900007492	Mix		GO:0005654,GO:0005730,GO:0005794
T96060014025	Mix	GO:0070062	GO:0005794
T96060002942	Mix	GO:0005737,GO:0005886,GO:0030054	GO:0005737
T37020012017	Mix		GO:0005794
T96060009192	Mix	GO:0005615	GO:0005794
T96060019581	Mix	GO:0005794	GO:0005783,GO:0005789
T2089640000026	Mix		GO:0005794
T96060000560	Mix	GO:0005829,GO:0005844,GO:0035068	GO:0000932,GO:0005794
T100900003604	Mix	GO:0031252,GO:0043234	GO:0005794
T96060006887	Mix	GO:0070062	GO:0005794,GO:0000139,GO:0005886
T833330001222	Mix		GO:0005634,GO:0005688,GO:0005730,GO:0005794
T96060000990	Mix	GO:0005739	GO:0005615
T96060019844	Mix	GO:0070062	GO:0005634,GO:0005730,GO:0005737
T79550000920	Mix	GO:0005764	GO:0005739,GO:0005764
T96060017586	Mix	GO:0005634	GO:0005739,GO:0005743
T96060010543	Mix	GO:0070062	GO:0005794,GO:0005768
T96060013098	Mix	GO:0005634	GO:0005634,GO:0005794
T446890002705	Mix	GO:0005886	GO:0005886,GO:0005634,GO:0005730,GO:0005737,GO:0005794,GO:0005829,GO:0008021,GO:0016020
